market,subdivision,sector,series_type,data_source_name,carbon_intensity,product,start_date,end_date,uploaded_at_utc_date,uploaded_at_utc_time,dataset_type_name,scenario_name,frequency,metric,unit,value,vintage,forecast_name,forecast_month_year,forecast_name_full,id_country,country_name,id_region,region,id_super_region,super_region,country_opec_oecd,source_ids,source_ids_batch,transform_utc_time,partition_0
North America,4,Agricultural,Forecast,SourceB,Medium,Nitrate,2024-05-03,2025-06-19,2025-06-19,14:02:04,Type2,1,Monthly,Production,liters,8143.57,2022,Pessimistic,Mar-2023,Optimistic Scenario,74,USA,8,North,1,EMEA,OPEC,src_0,batch_0,2025-06-19 14:02:04,2023
Asia,4,Industrial,Forecast,SourceC,High,Urea,2025-01-22,2025-06-19,2025-06-19,14:02:04,Type2,2,Quarterly,Production,liters,7770.88,2023,Pessimistic,Feb-2023,Optimistic Scenario,32,USA,6,West,3,Americas,Non-OECD,src_1,batch_1,2025-06-19 14:02:04,2023
Europe,7,Residential,Forecast,SourceC,Medium,Nitrate,2024-11-26,2025-06-19,2025-06-19,14:02:04,Type2,4,Yearly,Production,kg,1616.26,2022,Pessimistic,Mar-2023,Optimistic Scenario,8,India,5,North,2,EMEA,OECD,src_2,batch_2,2025-06-19 14:02:04,2021
North America,1,Agricultural,Forecast,SourceA,Medium,Urea,2024-05-30,2025-06-19,2025-06-19,14:02:04,Type2,3,Monthly,Export,kg,9081.97,2020,Pessimistic,Feb-2023,Pessimistic Outlook,59,India,4,West,2,APAC,OECD,src_3,batch_3,2025-06-19 14:02:04,2022
Europe,6,Residential,Forecast,SourceC,High,Nitrate,2025-02-04,2025-06-19,2025-06-19,14:02:04,Type2,3,Quarterly,Export,liters,2932.32,2023,Optimistic,Jan-2023,Optimistic Scenario,80,Germany,1,East,1,Americas,OECD,src_4,batch_4,2025-06-19 14:02:04,2023
North America,2,Residential,Historical,SourceA,High,Urea,2024-05-30,2025-06-19,2025-06-19,14:02:04,Type2,4,Monthly,Consumption,kg,4540.6,2022,Base,Mar-2023,Optimistic Scenario,2,Canada,6,North,3,Americas,Non-OECD,src_5,batch_5,2025-06-19 14:02:04,2022
North America,7,Industrial,Forecast,SourceB,Low,Urea,2024-09-02,2025-06-19,2025-06-19,14:02:04,Type1,1,Yearly,Consumption,kg,1035.52,2023,Optimistic,Mar-2023,Optimistic Scenario,76,USA,2,South,1,EMEA,OPEC,src_6,batch_6,2025-06-19 14:02:04,2023
Asia,1,Residential,Historical,SourceC,Medium,Urea,2023-09-28,2025-06-19,2025-06-19,14:02:04,Type1,3,Quarterly,Export,liters,3617.26,2022,Base,Mar-2023,Base Case 2023,62,Germany,9,East,4,EMEA,Non-OECD,src_7,batch_7,2025-06-19 14:02:04,2023
Europe,1,Industrial,Historical,SourceB,Low,Urea,2024-08-19,2025-06-19,2025-06-19,14:02:04,Type2,3,Monthly,Production,liters,2484.6,2020,Pessimistic,Mar-2023,Optimistic Scenario,13,Canada,6,East,2,Americas,Non-OECD,src_8,batch_8,2025-06-19 14:02:04,2023
North America,8,Agricultural,Forecast,SourceC,Low,Ammonia,2022-11-21,2025-06-19,2025-06-19,14:02:04,Type2,3,Monthly,Production,kg,6715.93,2022,Optimistic,Jan-2023,Base Case 2023,73,Canada,5,South,2,Americas,Non-OECD,src_9,batch_9,2025-06-19 14:02:04,2021
